media;domain;country;region;language;overall
El día de zamora;eldiadezamora.es;Spain;Western Europe;Spanish;21.5
El día digital;eldiadigital.es;Spain;Western Europe;Spanish;33.0
El faro;elfarodeceuta.es;Spain;Western Europe;Spanish;41.75
El ideal gallego;elidealgallego.com;Spain;Western Europe;Spanish;48.5
El liberal;elliberal.cat;Spain;Western Europe;Spanish;22.25
El mon;elmon.cat;Spain;Western Europe;Spanish;37.75
El nacional;elnacional.cat;Spain;Western Europe;Spanish;54.5
El noticiero;elnoticierodigital.com;Spain;Western Europe;Spanish;20.25
El periódico de canarias;elperiodicodecanarias.es;Spain;Western Europe;Spanish;25.5
El pueblo;elpueblodeceuta.es;Spain;Western Europe;Spanish;31.0
El triangle;eltriangle.eu;Spain;Western Europe;Spanish;39.0
EsDiario;esdiario.com;Spain;Western Europe;Spanish;46.0
Estrella Digital;estrelladigital.es;Spain;Western Europe;Spanish;52.0
Europa Press;europapress.es;Spain;Western Europe;Spanish;71.25
Europa sur;europasur.es;Spain;Western Europe;Spanish;48.75
Euskadi noticias;euskadinoticias.es;Spain;Western Europe;Spanish;14.75
Extremadura 7 días;extremadura7dias.com;Spain;Western Europe;Spanish;31.5
Faro de Vigo;farodevigo.es;Spain;Western Europe;Spanish;63.25
Galicia diario;galiciadiario.com;Spain;Western Europe;Spanish;21.5
Galicia digital;galiciadigital.com;Spain;Western Europe;Spanish;49.0
Galicia press;galiciapress.es;Spain;Western Europe;Spanish;39.75
Gara;naiz.eus;Spain;Western Europe;Spanish;47.75
Gipuzkoa gaur;gipuzkoagaur.com;Spain;Western Europe;Spanish;29.75
Granada Hoy;granadahoy.com;Spain;Western Europe;Spanish;55.5
Heraldo de Aragón;heraldo.es;Spain;Western Europe;Spanish;63.5
Heraldo diario de Soria;heraldodiariodesoria.elmundo.es;Spain;Western Europe;Spanish;48.75
Hoy de Badajoz;hoy.es;Spain;Western Europe;Spanish;60.25
Huelva Información;huelvainformacion.es;Spain;Western Europe;Spanish;55.25
Huffington Post España;huffingtonpost.es;Spain;Western Europe;Spanish;64.75
Ideal;ideal.es;Spain;Western Europe;Spanish;63.0
Infolibre;infolibre.es;Spain;Western Europe;Spanish;49.75
Informaciones de cuenca;informacioncuenca.com;Spain;Western Europe;Spanish;7.25
Información;informacion.es;Spain;Western Europe;Spanish;59.75
Izquierda Diario España;izquierdadiario.es;Spain;Western Europe;Spanish;34.25
La Crónica de Badajoz;lacronicadebadajoz.elperiodicoextremadura.com;Spain;Western Europe;Spanish;54.0
