;Media;Domain;Country;Region;Language;Global_rank;Overall
76;Estrella Digital;estrelladigital.es;Spain;Western Europe;Spanish;1226.0;52.0
77;Madrid Diario;madridiario.es;Spain;Western Europe;Spanish;1226.0;52.0
78;Diario Qué;que.es;Spain;Western Europe;Spanish;1226.0;52.0
79;Diario de Burgos;diariodeburgos.es;Spain;Western Europe;Spanish;1226.0;52.0
80;Diario siglo xxi;diariosigloxxi.com;Spain;Western Europe;Spanish;1257.0;51.75
81;Diario de Pontevedra;diariodepontevedra.es;Spain;Western Europe;Spanish;1304.0;51.25
82;La Gaceta de Salamanca;lagacetadesalamanca.es;Spain;Western Europe;Spanish;1304.0;51.25
83;Diario de Almería;diariodealmeria.es;Spain;Western Europe;Spanish;1330.0;51.0
84;Noticias de gipuzkoa;noticiasdegipuzkoa.eus;Spain;Western Europe;Spanish;1376.0;50.5
85;Diario de jerez;diariodejerez.es;Spain;Western Europe;Spanish;1376.0;50.5
86;Atlántico;atlantico.net;Spain;Western Europe;Spanish;1408.0;50.25
87;Diario de Jaén;diariojaen.es;Spain;Western Europe;Spanish;1429.0;50.0
88;Lanza;lanzadigital.com;Spain;Western Europe;Spanish;1429.0;50.0
89;La Voz de Almería;lavozdealmeria.com;Spain;Western Europe;Spanish;1429.0;50.0
90;Infolibre;infolibre.es;Spain;Western Europe;Spanish;1455.0;49.75
91;El Día de Córdoba;eldiadecordoba.es;Spain;Western Europe;Spanish;1474.0;49.5
92;The Objetive;theobjective.com;Spain;Western Europe;Spanish;1511.0;49.25
93;Diario del Altoaragón;diariodelaltoaragon.es;Spain;Western Europe;Spanish;1537.0;49.0
94;Galicia digital;galiciadigital.com;Spain;Western Europe;Spanish;1537.0;49.0
95;Europa sur;europasur.es;Spain;Western Europe;Spanish;1550.0;48.75
96;Heraldo diario de Soria;heraldodiariodesoria.elmundo.es;Spain;Western Europe;Spanish;1550.0;48.75
97;Te Interesa;teinteresa.es;Spain;Western Europe;Spanish;1579.0;48.5
98;Diario Crítico;diariocritico.com;Spain;Western Europe;Spanish;1579.0;48.5
99;El ideal gallego;elidealgallego.com;Spain;Western Europe;Spanish;1579.0;48.5
100;Nueva Tribuna;nuevatribuna.es;Spain;Western Europe;Spanish;1601.0;48.25
101;Gara;naiz.eus;Spain;Western Europe;Spanish;1652.0;47.75
102;Diario de Noticias de Álava;noticiasdealava.eus;Spain;Western Europe;Spanish;1679.0;47.5
103;Diario palentino;diariopalentino.es;Spain;Western Europe;Spanish;1707.0;47.25
104;El correo de andalucía;elcorreoweb.es;Spain;Western Europe;Spanish;1707.0;47.25
105;Diario de Teruel;diariodeteruel.es;Spain;Western Europe;Spanish;1733.0;47.0
106;Mallorca diario;mallorcadiario.com;Spain;Western Europe;Spanish;1733.0;47.0
107;Ctxt;ctxt.es;Spain;Western Europe;Spanish;1756.0;46.75
108;EsDiario;esdiario.com;Spain;Western Europe;Spanish;1821.0;46.0
109;Newtral;newtral.es;Spain;Western Europe;Spanish;1850.0;45.75
110;El Boletín;elboletin.com;Spain;Western Europe;Spanish;1850.0;45.75
111;Murcia.com;murcia.com;Spain;Western Europe;Spanish;1876.0;45.5
112;El día de valladolid;eldiadevalladolid.com;Spain;Western Europe;Spanish;1876.0;45.5
113;La Tribuna de Albacete;latribunadealbacete.es;Spain;Western Europe;Spanish;1954.0;44.75
114;Diario de ferrol;diariodeferrol.com;Spain;Western Europe;Spanish;2042.0;43.75
115;El Salto;elsaltodiario.com;Spain;Western Europe;Spanish;2042.0;43.75
116;La Gaceta;gaceta.es;Spain;Western Europe;Spanish;2065.0;43.5
117;El correo de burgos;elcorreodeburgos.elmundo.es;Spain;Western Europe;Spanish;2085.0;43.25
118;Mundiario;mundiario.com;Spain;Western Europe;Spanish;2085.0;43.25
119;Diario 16;diario16.com;Spain;Western Europe;Spanish;2111.0;43.0
120;El Imparcial;elimparcial.es;Spain;Western Europe;Spanish;2189.0;42.25
121;Moncloa;moncloa.com;Spain;Western Europe;Spanish;2204.0;42.0
122;Diario de ávila;diariodeavila.es;Spain;Western Europe;Spanish;2204.0;42.0
123;El faro;elfarodeceuta.es;Spain;Western Europe;Spanish;2233.0;41.75
124;Noticias de la rioja;sdi.es;Spain;Western Europe;Spanish;2233.0;41.75
125;La Tribuna de Ciudad Real;latribunadeciudadreal.es;Spain;Western Europe;Spanish;2260.0;41.5
126;La Tribuna de Toledo;latribunadetoledo.es;Spain;Western Europe;Spanish;2285.0;41.25
127;Madrid Actual;madridactual.es;Spain;Western Europe;Spanish;2316.0;41.0
128;Melilla Hoy;melillahoy.es;Spain;Western Europe;Spanish;2316.0;41.0
129;Aragón digital;aragondigital.es;Spain;Western Europe;Spanish;2343.0;40.75
130;La nueva crónica;lanuevacronica.com;Spain;Western Europe;Spanish;2343.0;40.75
131;Galicia press;galiciapress.es;Spain;Western Europe;Spanish;2447.0;39.75
132;El triangle;eltriangle.eu;Spain;Western Europe;Spanish;2533.0;39.0
133;Capital Radio;capitalradio.es;Spain;Western Europe;Spanish;2552.0;38.75
134;Catalunya press;catalunyapress.es;Spain;Western Europe;Spanish;2577.0;38.5
135;El mon;elmon.cat;Spain;Western Europe;Spanish;2653.0;37.75
136;Cambio 16;cambio16.com;Spain;Western Europe;Spanish;2710.0;37.25
137;Alerta;eldiarioalerta.com;Spain;Western Europe;Spanish;2710.0;37.25
138;Murcia diario;murciadiario.com;Spain;Western Europe;Spanish;2710.0;37.25
139;El día de segovia;eldiasegovia.es;Spain;Western Europe;Spanish;2754.0;36.75
140;Crónica balear;cronicabalear.es;Spain;Western Europe;Spanish;2798.0;36.25
141;El adelantado;eladelantado.com;Spain;Western Europe;Spanish;2798.0;36.25
142;Metropoli abierta;metropoliabierta.com;Spain;Western Europe;Spanish;2798.0;36.25
143;Clm24;clm24.es;Spain;Western Europe;Spanish;2854.0;35.5
144;Cuarto Poder;cuartopoder.es;Spain;Western Europe;Spanish;2876.0;35.25
145;El Cierre Digital;elcierredigital.com;Spain;Western Europe;Spanish;2943.0;34.5
146;Alerta digital;alertadigital.com;Spain;Western Europe;Spanish;2970.0;34.25
147;Izquierda Diario España;izquierdadiario.es;Spain;Western Europe;Spanish;2970.0;34.25
148;El Faro;elfarodemelilla.es;Spain;Western Europe;Spanish;2998.0;34.0
149;El día digital;eldiadigital.es;Spain;Western Europe;Spanish;3088.0;33.0
150;El día de soria;eldiasoria.es;Spain;Western Europe;Spanish;3111.0;32.75
151;Noticias galicia;noticiasgalicia.com;Spain;Western Europe;Spanish;3111.0;32.75
152;La Tribuna de Cuenca;latribunadecuenca.es;Spain;Western Europe;Spanish;3132.0;32.5
153;Madrid Press;madridpress.com;Spain;Western Europe;Spanish;3211.0;31.75
154;Voz Libre;vozlibre.com;Spain;Western Europe;Spanish;3211.0;31.75
155;Digital sevilla;digitalsevilla.com;Spain;Western Europe;Spanish;3233.0;31.5
156;Extremadura 7 días;extremadura7dias.com;Spain;Western Europe;Spanish;3233.0;31.5
157;El pueblo;elpueblodeceuta.es;Spain;Western Europe;Spanish;3281.0;31.0
158;Cantabria liberal;cantabrialiberal.com;Spain;Western Europe;Spanish;3325.0;30.5
159;Gipuzkoa gaur;gipuzkoagaur.com;Spain;Western Europe;Spanish;3389.0;29.75
160;Cantabria 24 horas;cantabria24horas.com;Spain;Western Europe;Spanish;3408.0;29.5
161;Digital Extremadura;digitalextremadura.com;Spain;Western Europe;Spanish;3460.0;28.75
162;Crónica vasca;cronicavasca.com;Spain;Western Europe;Spanish;3517.0;28.0
163;Diario Ya;diarioya.es;Spain;Western Europe;Spanish;3538.0;27.75
164;El catalán;elcatalan.es;Spain;Western Europe;Spanish;3538.0;27.75
165;Mediterráneo Digital;mediterraneodigital.com;Spain;Western Europe;Spanish;3563.0;27.5
166;El digital de canarias;eldigitaldecanarias.net;Spain;Western Europe;Spanish;3624.0;26.75
167;Navarra digital;navarradigital.opennemas.com;Spain;Western Europe;Spanish;3683.0;26.0
168;Objetivo clm;objetivocastillalamancha.es;Spain;Western Europe;Spanish;3708.0;25.75
169;El periódico de canarias;elperiodicodecanarias.es;Spain;Western Europe;Spanish;3726.0;25.5
170;Sabemos;sabemos.es;Spain;Western Europe;Spanish;3818.0;24.0
171;Murcia noticias;murcianoticias.es;Spain;Western Europe;Spanish;3850.0;23.5
172;La verdad de ceuta;laverdaddeceuta.com;Spain;Western Europe;Spanish;3863.0;23.25
