,media_url,n_urls,n_body_gpt,duration
1,https://www.laopiniondezamora.es/,80,0,88.7
2,https://www.elperiodicoextremadura.com/,80,0,81.0
3,https://www.diariosur.es/,86,0,148.1
0,https://www.publico.es/,2,0,55.1
1,https://www.ideal.es/,92,0,123.6
2,https://www.eldia.es/,99,0,89.7
3,https://www.abc.es/,122,0,154.1
0,https://www.ultimahora.es/,3,0,1.2
1,https://www.lavanguardia.com/,113,0,49.3
2,https://www.lainformacion.com/,0,0,0.1
3,https://www.informacion.es/,100,0,116.8
4,https://www.eldiariomontanes.es/,80,0,106.1
5,https://www.canarias7.es/,70,0,124.5
0,https://www.periodistadigital.com/,0,0,9.0
1,https://www.larazon.es/,107,0,17.4
2,https://www.laopiniondemalaga.es/,83,0,69.1
3,https://www.farodevigo.es/,108,0,95.4
4,https://www.elcorreo.com/,87,0,118.1
5,https://efe.com/,33,0,25.0
0,https://www.levante-emv.com/,78,0,84.4
1,https://www.huffingtonpost.es/,30,0,14.3
2,https://www.heraldo.es/,0,0,14.3
3,https://www.elplural.com/,12,0,3.2
4,https://www.elperiodicomediterraneo.com/,88,0,79.9
5,https://www.diariovasco.com/,97,0,110.7
6,https://cronicaglobal.elespanol.com/,5,0,3.5
0,https://www.laverdad.es/,117,0,168.9
1,https://www.eldiario.es/,60,0,25.1
2,https://www.elconfidencial.com/,55,0,20.8
3,https://www.diariodesevilla.es/,46,0,26.7
4,https://www.diariodecadiz.es/,43,0,21.1
5,https://www.diariocordoba.com/,81,0,94.2
0,https://www.lavozdigital.es/,0,0,20.2
1,https://www.laopinioncoruna.es/,87,0,75.6
2,https://www.europapress.es/,143,0,50.3
3,https://www.elmundo.es/,0,0,0.2
4,https://www.elespanol.com/,73,0,30.2
5,https://www.elcorreogallego.es/,66,0,72.8
6,https://www.deia.eus/,44,0,20.7
7,https://sevilla.abc.es/,46,0,72.2
0,https://www.libertaddigital.com/,20,0,5.3
1,https://www.lasprovincias.es/,90,0,138.1
2,https://www.elnortedecastilla.es/,94,0,134.7
3,https://www.20minutos.es/,61,0,19.0
4,https://okdiario.com/,108,0,43.2
0,https://www.republica.com/,16,0,7.4
1,https://www.larioja.com/,90,0,107.3
2,https://www.elperiodicodearagon.com/,72,0,71.9
3,https://www.elcomercio.es/,118,0,119.7
0,https://www.lne.es/,118,0,89.4
1,https://www.hoy.es/,96,0,129.2
2,https://www.diariodemallorca.es/,101,0,83.8
3,https://lavozdegalicia.es/,0,0,6.3
4,https://elpais.com/,77,0,160.5
